Model Name,Trained,Training set size,Evaluation set size,Final_decision,Training_acc,Eval_acc,Test_acc,Keep ratio,Batch_processed,Training_IoU,Eval_IoU,Test_IoU,Test set size
5020037270,Y,7583.0,2345.0,115.0,0.9875524044036864,0.9809043407440186,0.985490620136261,1.0,,0.9252309799194336,0.4485816955566406,0.4970533549785614,2025.0
5020049720,Y,169612.0,42467.0,150.0,0.9816325902938844,0.9766778349876404,0.9820892214775084,0.13,,0.7279199361801147,0.6122331023216248,0.6596518158912659,39565.0
6020008320,Y,112645.0,31090.0,140.0,0.995551347732544,0.9929136037826538,0.9931424260139464,0.18,,0.9446712136268616,0.7961823344230652,0.7856685519218445,29088.0
7020021430,Y,28820.0,7183.0,105.0,0.9954291582107544,0.9952378869056702,0.9951106309890748,0.5,,0.9630398154258728,0.8504877686500549,0.8527048230171204,7321.0
7020024600,Y,21502.0,5422.0,180.0,0.9969124794006348,0.9965882897377014,0.9965530037879944,0.57,,0.9585524201393129,0.8727280497550964,0.8755490779876709,5348.0
7020047840,Y,80277.0,19547.0,195.0,0.993099570274353,0.9893841743469238,0.9885222911834716,0.23,,0.9741746187210084,0.8168466687202454,0.7928715348243713,19552.0
8020010700,Y,10488.0,2802.0,100.0,0.988144874572754,0.9886420369148254,0.9885977506637572,1.0,,0.943070948123932,0.9154911637306212,0.9136430621147156,1930.0
8020020760,N,2677.0,608.0,215.0,0.9902628660202026,0.9909058809280396,0.9892549514770508,1.0,,0.9616923332214355,0.857021152973175,0.8618242144584656,580.0
8020022890,N,2375.0,448.0,135.0,0.9811534285545348,0.976909041404724,0.9811824560165404,1.0,,0.9220317602157592,0.8019570708274841,0.8750288486480713,346.0
8020032840,N,4066.0,1127.0,135.0,0.9811534285545348,0.976909041404724,0.9821453094482422,1.0,,0.9220317602157592,0.8019570708274841,0.8652903437614441,1092.0
8020044560,N,12.0,6.0,135.0,0.9811534285545348,0.976909041404724,0.9878082275390624,1.0,,0.9220317602157592,0.8019570708274841,0.7285542488098145,4.0
1020040190,Y,140335.0,34946.0,180.0,0.9903125166893004,0.9860950112342834,0.989696204662323,0.14,,0.8325105905532837,0.8165948390960693,0.8132224082946777,33506.0
2020065840,Y,100964.0,25903.0,130.0,0.9718191027641296,0.9771587252616882,0.9634457230567932,0.2,,0.9376078248023988,0.8491437435150146,0.84819495677948,24799.0
2020071190,Y,123338.0,30881.0,135.0,0.9932855367660522,0.9923095107078552,0.9914655685424804,0.17,,0.9635874629020692,0.8666837215423584,0.8653879165649414,30804.0
3020009320,Y,12947.0,3337.0,60.0,0.9817965626716614,0.975654363632202,0.9772400856018066,1.0,,0.9111394882202148,0.8354151844978333,0.8326928019523621,3334.0
3020024310,Y,88253.0,21994.0,135.0,0.9985485672950744,0.998901665210724,0.998036801815033,0.2,,0.9965838193893432,0.9546842575073242,0.9505372643470764,22428.0
4020034510,Y,16572.0,4747.0,185.0,0.9973322153091432,0.996878981590271,0.9969595074653624,1.0,,0.9925389289855956,0.8489128947257996,0.8448984622955322,4575.0
4020050210,Y,55058.0,13328.0,160.0,0.983510971069336,0.9758004546165466,0.976962685585022,0.38,,0.9628005623817444,0.7514581084251404,0.748599648475647,14358.0
4020050220,Y,108574.0,28365.0,275.0,0.9878913760185242,0.9920685887336732,0.9869431853294371,0.17,,0.9518603682518004,0.8435797691345215,0.8057421445846558,29123.0
4020050290,Y,85089.0,21373.0,140.0,0.983150839805603,0.9756867289543152,0.980720579624176,0.21,,0.9338716864585876,0.6968553066253662,0.6839104294776917,20731.0
4020050470,Y,19721.0,5274.0,145.0,0.9995841979980468,0.9996201992034912,0.999679148197174,1.0,,0.9993260502815248,0.9604336619377136,0.961502194404602,5165.0
5020082270,Y,13812.0,4057.0,225.0,0.9992197155952454,0.998992085456848,0.9993114471435548,1.0,,0.9976062774658204,0.9039890170097352,0.9049833416938782,3979.0
6020014330,Y,131650.0,34637.0,205.0,0.992184042930603,0.9907572865486144,0.9911622405052184,0.13,,0.9488479495048524,0.7204133868217468,0.7073296308517456,34926.0
6020017370,Y,60722.0,16300.0,130.0,0.9886574149131776,0.985251486301422,0.9843095541000366,0.3,,0.9300801157951356,0.7057970762252808,0.6938181519508362,16059.0
6020021870,Y,52141.0,13072.0,185.0,0.989119291305542,0.9801991581916808,0.9871853590011596,0.4,,0.9706569314002992,0.8223630785942078,0.8415006995201111,12725.0
6020029280,Y,12255.0,3219.0,105.0,0.9525631666183472,0.9360640048980712,0.940053164958954,1.0,,0.8075235486030579,0.4128246605396271,0.4027356803417206,3023.0
7020038340,Y,66488.0,15960.0,95.0,0.9938027262687684,0.992247760295868,0.9928613305091858,0.3,,0.9630422592163086,0.7734761834144592,0.7811172008514404,15847.0
7020046750,Y,75508.0,19397.0,155.0,0.9944167733192444,0.9927001595497132,0.9927834868431092,0.28,,0.9538145661354064,0.7511580586433411,0.7375760078430176,18909.0
7020065090,Y,55471.0,16443.0,100.0,0.9742158651351928,0.9681549072265624,0.9657670855522156,0.4,,0.9355775117874146,0.8397119045257568,0.8420979380607605,14700.0
